POS Hour,Item Name,Category,Group,Units Sold
11,DB Bacardi,Liquor,Alcohol,4
11,DB Bowmore,Liquor,Alcohol,1
11,DB Caesar,Liquor,Alcohol,8
11,DB Captain Morgan Spice,Liquor,Alcohol,6
11,DB Chivas Regal,Liquor,Alcohol,4
11,DB Cinzano Red,Liquor,Alcohol,2
11,DB Crown Royal,Liquor,Alcohol,10
11,DB Dark Rum,Liquor,Alcohol,1
11,DB Glenlivet,Liquor,Alcohol,5
11,DB Grey Goose,Liquor,Alcohol,2
11,DB Oban,Liquor,Alcohol,1
11,DB Rye,Liquor,Alcohol,8
11,DB Stoli,Liquor,Alcohol,6
11,DB Vodka,Liquor,Alcohol,10
11,DB White Russian,Liquor,Alcohol,2
11,DB WhiteRum,Liquor,Alcohol,2
11,Dbl Highballs,Liquor,Alcohol,13
11,D'Eaubonne,Liquor,Alcohol,0
11,Dessert $5,Desserts,Food,14
11,Dessert $6,Desserts,Food,38
11,Dewars,Liquor,Alcohol,1
11,Domestic Beer,Canned Beer,Alcohol,391
11,Drambuie,Liquor,Alcohol,4
11,Eaglehawk Shiraz,Wine,Alcohol,37
11,Espresso,Non Alc Beverage,Food,4
11,Event Buffet,Entrees,Food,17
11,Express Sandwich,Sandwiches,Food,133
11,Feature Pitcher,Draft Beer,Alcohol,2
11,Fri Cheese Plate,Entrees,Food,2
11,Fruit Juices,Non Alc Beverage,Food,39
11,G2,Non Alc Beverage,Food,76
11,Gabbiano Chianti,Wine,Alcohol,4
11,Gabbiano Pinot Grigio,Wine,Alcohol,1
11,Garlic Bread,Soups/Salads,Food,34
11,Garlic Herb Ribs,Appetizers,Food,61
11,Gatorade,Non Alc Beverage,Food,13
11,Gin,Liquor,Alcohol,28
11,GL Banrock Station Unwood Chard,Wine,Alcohol,2
11,Gl Beringer Zinfandel,Wine,Alcohol,1
11,GL Cherry Point Blackberry Port,Wine,Alcohol,3
11,Gl Guinness,Draft Beer,Alcohol,2
11,Gl Lindemans Bin 45 Cabernet,Wine,Alcohol,56
11,Gl Lindemans Bin 65 Chard,Wine,Alcohol,34
11,Gl Linden Bay Merlot,Wine,Alcohol,107
11,GL Marcus James Malbec,Wine,Alcohol,1
11,GL Mezzamondo Negroamaro,Wine,Alcohol,6
11,Gl Naked Grape Pinot Grigio,Wine,Alcohol,181
11,GL Rosemnt Road R,Wine,Alcohol,43
11,Gl Rosemnt Road W,Wine,Alcohol,35
11,Gl Shandy,Draft Beer,Alcohol,63
11,Gl Taylors Port,Liquor,Alcohol,1
11,GlaBeringer White Zinfandel,Wine,Alcohol,11
11,GlaEaglehawk Shiraz,Wine,Alcohol,43
11,GlaLa Veille Ferme,Wine,Alcohol,2
11,GlaLager,Draft Beer,Alcohol,119
11,GlaRed Label Unwooded Chardonnay,Wine,Alcohol,4
11,GlaSumac Ridge Gewurztraminer,Wine,Alcohol,4
11,GlaWater,Non Alc Beverage,Food,16
11,Glawine,Wine,Alcohol,11
11,GlaWinter Ale,Draft Beer,Alcohol,46
11,GlaWolfblaRed Label CabMerlot,Wine,Alcohol,27
